Taxon,HFD1_D0,HFD1_D14,HFD1_D29,HFD1_D43,HFD2_D0,HFD2_D14,HFD2_D29,HFD2_D43,HFD3_D0,HFD3_D14,HFD3_D29,HFD3_D43,HFD4_D0,HFD4_D14,HFD4_D29,HFD4_D43,LFD1_D0,LFD1_D14,LFD1_D29,LFD1_D43,LFD2_D0,LFD2_D14,LFD2_D29,LFD2_D43,LFD3_D0,LFD3_D14,LFD3_D29,LFD3_D43,LFD4_D0,LFD4_D14,LFD4_D29,LFD4_D43
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae@Citreicella@_,0.0,2.5822E7,2.2203E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Chloroflexi@Chloroflexia@Herpetosiphonales@Herpetosiphonaceae@Herpetosiphon@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1395E8,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Xanthomonadales@Xanthomonadaceae@Lysobacter@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3092E8,0.0,0.0,0.0,2.7059E7,0.0,0.0,0.0,0.0,0.0,7.3146E7,1.7884E8,1.7194E8,0.0,0.0,0.0,4.4613E7,0.0,0.0,0.0,3.5038E7,0.0,0.0,0.0
cellular organisms@Bacteria@candidate division KD3-62@_@_@_@_@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0291E7,1.5963E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfobacterales@Desulfobulbaceae@Desulfocapsa@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2411E7,0.0,2.5018E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Caulobacterales@Caulobacteraceae@Caulobacter@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3202E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Aquificae@_@_@_@_@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.507E7
cellular organisms@Bacteria@Verrucomicrobia@Verrucomicrobiae@Verrucomicrobiales@Akkermansiaceae@Akkermansia@Akkermansia glycaniphila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0245E6,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Paenibacillaceae@Paenibacillus@Paenibacillus sp. DMB20,0.0,2.9099E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Chloroflexi@_@_@_@_@_,0.0,3.0805E7,1.76E8,1.8448E8,4.4293E7,3.447E7,8.1955E7,1.2268E8,5.2753E7,9.7854E7,0.0,3.2697E7,1.3944E7,9.8536E7,1.5469E8,6.7421E7,1.3857E7,2.6297E7,6.458E7,3.8971E7,3.014E7,0.0,1.0523E7,5.0531E7,3.0625E7,0.0,2.4496E8,0.0,6.5499E7,0.0,8.0618E7,1.0388E8
cellular organisms@Bacteria@Chlamydiae@Chlamydiia@Chlamydiales@Criblamydiaceae@Estrella@Estrella lausannensis,0.0,0.0,3.3811E7,2.4748E8,0.0,0.0,2.6643E8,0.0,0.0,5.1383E7,9.5906E7,0.0,0.0,0.0,9.9608E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Chlamydiae@Chlamydiia@Chlamydiales@Criblamydiaceae@Estrella@_,0.0,0.0,3.3811E7,2.4748E8,0.0,0.0,2.6643E8,0.0,0.0,5.1383E7,9.5906E7,0.0,0.0,0.0,9.9608E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@_@Pseudoflavonifractor@Pseudoflavonifractor capillosus,0.0,0.0,2.0567E7,0.0,1.4049E8,0.0,0.0,0.0,9.3169E7,0.0,5.3498E7,0.0,2.674E7,3.9273E7,0.0,0.0,2.9158E8,0.0,0.0,5.8215E7,6.691E7,0.0,1.0591E8,3.0233E8,1.8163E8,1.0899E9,0.0,0.0,1.8914E8,6.699E7,1.8459E8,1.4704E8
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales@Erysipelotrichaceae@Catenisphaera@Catenisphaera adipataccumulans,0.0,0.0,0.0,0.0,3.6582E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8852E7,0.0,2.4443E7,1.1502E8,1.8892E7,1.8622E7,0.0,0.0,0.0,0.0,0.0,0.0,4.9064E7,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria@Gallionellales@Gallionellaceae@Gallionella@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1347E8,1.1982E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2818E7,0.0,0.0,0.0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Enterococcaceae@Enterococcus@Enterococcus mundtii,0.0,0.0,0.0,0.0,0.0,0.0,6.654E6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8194E7,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales@Brucellaceae@_@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4304E7,0.0,0.0,0.0,0.0,2.8158E7,1.1389E8,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Bacteroidetes@Cytophagia@Cytophagales@Cytophagaceae@Spirosoma@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9783E8,0.0,0.0,0.0,0.0,2.1412E8,0.0,0.0,1.2096E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Bacteroidetes@Cytophagia@Cytophagales@Cytophagaceae@Spirosoma@Spirosoma linguale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9783E8,0.0,0.0,0.0,0.0,2.1412E8,0.0,0.0,1.2096E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Eukaryota@Basidiomycota@Agaricomycetes@Agaricales@Psathyrellaceae@Coprinopsis@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0436E6
cellular organisms@Bacteria@Planctomycetes@Planctomycetia@Planctomycetales@_@_@_,0.0,0.0,0.0,0.0,1.0384E8,0.0,0.0,0.0,0.0,5.2602E7,0.0,7.8253E7,0.0,0.0,0.0,4.104E7,0.0,6.0282E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Planctomycetes@Planctomycetia@Planctomycetales@Gemmataceae@Gemmata@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2602E7,0.0,7.8253E7,0.0,0.0,0.0,4.104E7,0.0,6.0282E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfovibrionales@_@_@_,6.7383E8,1.0948E10,1.3642E10,2.2997E10,2.3531E7,2.3218E10,3.293E9,1.4197E10,0.0,7.4018E9,1.0573E10,1.2436E10,8.0208E7,2.862E10,5.2498E9,2.381E10,1.0677E7,8.1361E9,1.0749E10,1.2928E10,3.4158E7,7.0703E9,3.4418E9,3.454E9,8.4408E8,8.2662E9,4.5382E9,4.8576E9,8.7355E7,5.2029E9,4.4995E9,7.2934E9
cellular organisms@Bacteria@candidate division KD3-62@_@_@_@_@candidate division KD3-62 bacterium DG_56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0291E7,1.5963E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfobacterales@Desulfobacteraceae@_@_,0.0,0.0,0.0,7.7195E7,1.0787E8,3.5688E8,2.4876E8,7.7589E8,1.1699E8,2.804E8,1.9592E8,2.2697E8,1.066E8,0.0,7.6815E7,1.3945E8,2.5109E8,2.7565E8,1.2629E9,4.218E8,1.6254E8,3.2134E8,4.0712E8,7.1238E7,2.4554E8,1.2297E9,8.6477E8,5.9582E8,1.559E8,3.9289E8,4.6852E8,4.1804E8
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfobacterales@_@_@_,0.0,0.0,0.0,7.7195E7,1.0787E8,3.5688E8,2.4876E8,7.7589E8,1.1699E8,3.1281E8,1.9592E8,2.5199E8,1.066E8,0.0,7.6815E7,1.3945E8,2.5109E8,2.7565E8,1.2629E9,4.218E8,1.6254E8,3.2134E8,4.0712E8,7.1238E7,2.4554E8,1.2297E9,9.0869E8,5.9582E8,1.559E8,3.9289E8,4.6852E8,4.1804E8
cellular organisms@Bacteria@Planctomycetes@Planctomycetia@Planctomycetales@Planctomycetaceae@_@_,0.0,0.0,0.0,0.0,1.0384E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfobacterales@Desulfobulbaceae@_@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2411E7,0.0,2.5018E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3924E7,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@Spirochaetales@_@_@_,3.7463E7,1.7213E7,9.0805E6,1.6058E7,2.2317E8,5.8097E7,2.1829E7,2.5419E8,2.6971E7,0.0,0.0,9.871E7,5.0188E7,0.0,0.0,0.0,4.1198E8,2.5416E8,4.3906E7,7.7871E7,1.4266E8,2.6109E8,1.4833E7,2.3555E7,1.1348E8,1.9399E8,3.5185E7,2.5723E7,6.0764E7,0.0,2.3104E7,0.0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Chromatiales@Ectothiorhodospiraceae@Thioalkalivibrio@_,3.0979E8,1.0788E9,0.0,0.0,2.0827E8,7.7148E8,0.0,0.0,1.0161E8,4.5431E8,0.0,2.373E8,8.65E7,3.7351E7,1.0271E8,0.0,0.0,1.7859E8,8.4073E7,0.0,2.0341E8,2.5416E8,0.0,0.0,1.2109E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@Spirochaetales@Spirochaetaceae@_@_,3.7463E7,1.7213E7,9.0805E6,1.6058E7,2.2317E8,5.8097E7,2.1829E7,2.5419E8,2.6971E7,0.0,0.0,9.871E7,5.0188E7,0.0,0.0,0.0,4.1198E8,2.5416E8,4.3906E7,7.7871E7,1.4266E8,2.6109E8,1.4833E7,2.3555E7,1.1348E8,1.9399E8,3.5185E7,2.5723E7,6.0764E7,0.0,2.3104E7,0.0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Lactobacillaceae@Lactobacillus@Lactobacillus oeni,0.0,0.0,0.0,0.0,0.0,3.4094E7,1.48E7,6.3827E7,0.0,4.4119E7,0.0,0.0,0.0,0.0,0.0,6.5914E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@Spirochaetales@Spirochaetaceae@Spirochaeta@_,0.0,0.0,0.0,1.6058E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1348E8,4.8566E7,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Eggerthellales@Eggerthellaceae@Gordonibacter@Gordonibacter pamelaeae,1.0353E7,0.0,0.0,0.0,6.6002E7,0.0,0.0,0.0,4.0673E7,0.0,0.0,0.0,3.0169E8,0.0,0.0,0.0,1.1143E8,0.0,0.0,0.0,9.7593E7,0.0,0.0,0.0,3.0606E7,0.0,0.0,0.0,7.8559E7,0.0,0.0,0.0
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@Spirochaetales@Spirochaetaceae@Spirochaeta@Spirochaeta thermophila,0.0,0.0,0.0,1.6058E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@Spirochaetales@Spirochaetaceae@Treponema@_,0.0,1.7213E7,9.0805E6,0.0,2.2317E8,0.0,2.1829E7,2.5419E8,2.5295E7,0.0,0.0,6.8138E7,5.0188E7,0.0,0.0,0.0,3.6688E8,2.5416E8,4.3906E7,1.5876E7,1.1118E8,2.6109E8,0.0,2.3555E7,0.0,1.4542E8,3.5185E7,2.5723E7,6.0764E7,0.0,2.3104E7,0.0
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@Spirochaetales@Spirochaetaceae@Treponema@Treponema phagedenis,0.0,0.0,0.0,0.0,0.0,0.0,2.1829E7,1.8225E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8065E7,1.8868E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Catabacteriaceae@Catabacter@_,0.0,0.0,0.0,0.0,1.3149E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7169E7,0.0,0.0,0.0,0.0,0.0,0.0,2.2839E8,0.0,0.0,0.0,0.0,1.9321E8,0.0,0.0,0.0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Catabacteriaceae@Catabacter@Catabacter hongkongensis,0.0,0.0,0.0,0.0,1.3149E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7169E7,0.0,0.0,0.0,0.0,0.0,0.0,2.2839E8,0.0,0.0,0.0,0.0,1.9321E8,0.0,0.0,0.0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Lactobacillaceae@Lactobacillus@Lactobacillus malefermentans,0.0,0.0,0.0,0.0,0.0,7.2141E7,2.4728E7,6.2945E7,0.0,0.0,0.0,3.0799E7,0.0,0.0,8.6706E6,0.0,0.0,0.0,2.5339E7,0.0,0.0,0.0,3.2824E7,0.0,2.0011E7,0.0,0.0,0.0,0.0,4.4332E7,5.949E7,6.5814E7
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@Spirochaetales@Spirochaetaceae@Treponema@Treponema succinifaciens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3104E7,0.0
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@_@Leptospiraceae@_@_,0.0,0.0,0.0,0.0,3.0647E6,0.0,0.0,2.3236E7,0.0,5.8194E7,1.1899E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1942E7,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@_@Leptospiraceae@Leptospira@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3236E7,0.0,5.8194E7,1.1899E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1942E7,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@_@Leptospiraceae@Leptonema@Leptonema illini,0.0,0.0,0.0,0.0,3.0647E6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Legionellales@_@_@_,0.0,0.0,0.0,1.8195E8,0.0,0.0,1.8196E7,0.0,0.0,0.0,4.7369E7,0.0,0.0,0.0,0.0,1.8121E7,0.0,0.0,9.261E6,0.0,0.0,0.0,0.0,0.0,4.6139E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Firmicutes@Clostridia@Halanaerobiales@_@_@_,0.0,0.0,0.0,0.0,4.304E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
